Sehir,Sira,Sektor,Skor
Şanlıurfa,2,Lojistik,61.33203992227706
Şanlıurfa,3,Sosyal Hizmetler,60.089046492769945
Şanlıurfa,4,Gıda İşleme,56.633005887117626
Şanlıurfa,5,Sağlık,55.59302385920197
Şırnak,1,Sosyal Hizmetler,79.21323252733453
Şırnak,2,Sağlık,76.64322196621154
Şırnak,3,Ulaşım,67.01319657456347
Şırnak,4,Çevre / Atık,53.28172431911864
Şırnak,5,Turizm / Otelcilik,46.78004472245828
Tekirdağ,1,Lojistik,73.17782303567685
Tekirdağ,2,Sanayi / Üretim,55.084802017419065
Tekirdağ,3,Gıda İşleme,53.73502692094129
Tekirdağ,4,Otomotiv,52.86780150294689
Tekirdağ,5,Ulaşım,51.85274152297061
Tokat,1,Lojistik,72.9519663445741
Tokat,2,Sanayi / Üretim,50.39064139625283
Tokat,3,Otomotiv,50.13200415714962
Tokat,4,Gıda İşleme,47.07786231435098
Tokat,5,Enerji,44.53165703493951
Trabzon,1,Lojistik,75.4459587562301
Trabzon,2,Sanayi / Üretim,50.61698485402193
Trabzon,3,Otomotiv,50.31629042887828
Trabzon,4,Gıda İşleme,45.73932561969873
Trabzon,5,Finans,44.66576622982188
Tunceli,1,Sosyal Hizmetler,58.35807993429816
Tunceli,2,Lojistik,56.26592581109884
Tunceli,3,Sağlık,47.186463573591546
Tunceli,4,Ulaşım,44.381981233160666
Tunceli,5,Sanayi / Üretim,37.12022167080733
Uşak,1,Lojistik,80.14430992426146
Uşak,2,Otomotiv,55.520033244510245
Uşak,3,Sanayi / Üretim,55.21721445234662
Uşak,4,Gıda İşleme,52.885569144685384
Uşak,5,Finans,48.24920447178423
Van,1,Sosyal Hizmetler,70.68875618897586
Van,2,Sağlık,62.656464466887826
Van,3,Ulaşım,54.56633929503627
Van,4,Lojistik,45.86062059963838
Van,5,Çevre / Atık,44.01299192204667
Yalova,1,Lojistik,73.43309720329621
Yalova,2,Sanayi / Üretim,47.62454585195113
Yalova,3,Sosyal Hizmetler,47.27241145699678
Yalova,4,Otomotiv,46.13026785285983
Yalova,5,Enerji,43.40735262345032
Yozgat,1,Lojistik,67.98826791994436
Yozgat,2,Gıda İşleme,52.46137727638429
Yozgat,3,Sosyal Hizmetler,49.04540713717235
Yozgat,4,Sanayi / Üretim,45.77604788388958
Yozgat,5,Tarım ve Hayvancılık,45.57747086517821
Zonguldak,1,Lojistik,59.50147326281245
Zonguldak,2,Sosyal Hizmetler,56.17209925866005
Zonguldak,3,Sağlık,48.151729953955815
Zonguldak,4,Ulaşım,46.014475639550724
Zonguldak,5,Çevre / Atık,42.4554304035975
